"Ticker","TickerType","Company","Traded","Transaction","Trade_Size_USD","Subholding","Description","Name","Filed","Party","District","Chamber","Comments","excess_return","State","last_modified"
"NGL","ST","NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2024-03-11,"Sale","$15,001 - $50,000"," EQUITABLE RETIREMENT ACCOUNT","","Mark Dr Green",2024-03-13,"R"," TN07","House","",1.52329606923909,"Tennessee",2024-03-14
"FCX","ST","FREEPORT-MCMORAN, INC. COMMON STOCK",2024-02-29,"Sale","$1,001 - $15,000"," MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2024-03-07,"D"," NJ05","House","",17.3250323613532,"New Jersey",2024-03-08
"V","ST","VISA INC.",2024-02-29,"Purchase","$1,001 - $15,000"," TRUST ONE","","Pete Sessions",2024-03-07,"R"," TX17","House","",-0.518104996297745,"Texas",2024-03-08
"APPLE INC. (XNAS:AAPL)","ST","APPLE INC. - COMMON STOCK",2024-02-29,"Purchase","$360.00"," IRA ONE","","Pete Sessions",2024-02-29,"R"," TX17","House","",-5.15755309266949,"Texas",2024-03-01
"MSFT","ST","MICROSOFT CORPORATION - COMMON STOCK",2024-02-29,"Sale","$100,001 - $250,000","","VESTED SHARES SOLD TO SEPARATE TRUST NOT FOR THE BENEFIT OF FILER OR SPOUSE PURSUANT TO FORWARD CONTRACT DATED","Suzan K. Delbene",2024-03-08,"D"," WA01","House","",0.0124542222085308,"Washington",2024-03-11
"BA","ST","BOEING COMPANY",2024-02-28,"Sale","$1,001 - $15,000"," BILL'S IRA","","William R. Keating",2024-03-12,"D"," MA09","House","",-12.8530481325404,"Massachusetts",2024-03-13
"URI","ST","UNITED RENTALS, INC. COMMON STOCK",2024-02-28,"Sale","$1,001 - $15,000"," BILL'S IRA","","William R. Keating",2024-03-12,"D"," MA09","House","",-2.57801107114428,"Massachusetts",2024-03-13
"TDG","ST","TRANSDIGM GROUP INCORPORATED COMMON STOCK",2024-02-28,"Purchase","$1,001 - $15,000"," BILL'S IRA","","William R. Keating",2024-03-12,"D"," MA09","House","",-1.0147272474767,"Massachusetts",2024-03-13
"DUK$A","ST","DUKE ENERGY CORPORATION DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 5.75% SERIES A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED STOCK",2024-02-28,"Sale","$50,001 - $100,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",NA,"North Carolina",2024-03-08
"ZTS","Stock","Zoetis Inc Cl A",2024-02-27,"Purchase","$15,001 - $50,000","","","Capito, Shelley Moore",2024-03-15,"R","","Senate","",-14.157075053977,"West Virginia",2024-03-15
"PFE","Stock","Pfizer, Inc. Common Stock",2024-02-27,"Purchase","$1,001 - $15,000","","","Tuberville, Tommy",2024-03-15,"R","","Senate","",3.02912930362359,"Alabama",2024-03-15
"QCOM","Stock Option","QUALCOMM Incorporated - Common Stock",2024-02-27,"Sale (Full)","$15,001 - $50,000","","Option Type: Put Strike price: $150.00  Expires: 12/20/2024","Tuberville, Tommy",2024-03-15,"R","","Senate","",4.7465682414642,"Alabama",2024-03-15
"SBLK","Stock","Star Bulk Carriers Corp. - Common Shares",2024-02-27,"Purchase","$50,001 - $100,000","","","Tuberville, Tommy",2024-03-15,"R","","Senate","",-0.0224256979819945,"Alabama",2024-03-15
"ASC","ST","ARDMORE SHIPPING CORPORATION COMMON STOCK",2024-02-27,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",1.72656246447026,"North Carolina",2024-03-08
"SSBK","Stock","Southern States Bancshares, Inc. - Common Stock",2024-02-27,"Purchase","$50,001 - $100,000","","","Tuberville, Tommy",2024-03-15,"R","","Senate","",1.84710425842662,"Alabama",2024-03-15
"GOGL","Stock","Golden Ocean Group Limited - Common Stock",2024-02-27,"Purchase","$50,001 - $100,000","","","Tuberville, Tommy",2024-03-15,"R","","Senate","",6.14774335243635,"Alabama",2024-03-15
"FLNG","ST","FLEX LNG LTD. ORDINARY SHARES",2024-02-26,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",1.10908502223474,"North Carolina",2024-03-08
"NGL","ST","NGL ENERGY PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2024-02-26,"Sale","$50,001 - $100,000"," EQUITABLE RETIREMENT ACCOUNT","","Mark Dr Green",2024-02-29,"R"," TN07","House","",1.68221969646872,"Tennessee",2024-03-01
"LRLCY","ST","L'OREAL CO. AMERICAN DEPOSITARY SHARES",2024-02-26,"Purchase","$1,001 - $15,000"," MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2024-03-07,"D"," NJ05","House","",-1.74629799087513,"New Jersey",2024-03-08
"ARLP","ST","ALLIANCE RESOURCE PARTNERS, L.P. - COMMON UNITS REPRESENTING LIMITED PARTNERSHIP INTERESTS",2024-02-26,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",3.48805886079847,"North Carolina",2024-03-08
"BBY","ST","BEST BUY CO., INC. COMMON STOCK",2024-02-26,"Sale","$15,001 - $50,000","","","Michael C. Burgess",2024-03-07,"R"," TX26","House","",0.991424133947886,"Texas",2024-03-08
"ASC","ST","ARDMORE SHIPPING CORPORATION COMMON STOCK",2024-02-23,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",3.45896859010789,"North Carolina",2024-03-08
"ARLP","ST","ALLIANCE RESOURCE PARTNERS, L.P. - COMMON UNITS REPRESENTING LIMITED PARTNERSHIP INTERESTS",2024-02-23,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",3.30802519388149,"North Carolina",2024-03-08
"SBUX","Stock","Starbucks Corp",2024-02-23,"Purchase","$15,001 - $50,000","","","Capito, Shelley Moore",2024-03-15,"R","","Senate","",-6.44390954780436,"West Virginia",2024-03-15
"FLNG","ST","FLEX LNG LTD. ORDINARY SHARES",2024-02-23,"Purchase","$1,001 - $15,000","","","Virginia Foxx",2024-03-07,"R"," NC05","House","",-0.296874055427086,"North Carolina",2024-03-08
"BBY","ST","BEST BUY CO., INC. COMMON STOCK",2024-02-23,"Sale","$15,001 - $50,000","","","Michael C. Burgess",2024-03-07,"R"," TX26","House","",1.58909493693339,"Texas",2024-03-08
"AMD","ST","ADVANCED MICRO DEVICES, INC.",2024-02-22,"Purchase","$1,001 - $15,000"," MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2024-03-07,"D"," NJ05","House","",4.32154088495604,"New Jersey",2024-03-08
"PANW","OP","PALO ALTO NETWORKS, INC.",2024-02-21,"Purchase","$100,001 - $250,000","","PURCHASED 20 CALL OPTIONS WITH A STRIKE PRICE OF $200 AND AN EXPIRATION DATE OF 1/17/25.","Nancy Pelosi",2024-02-23,"D"," CA11","House","",4.85341034036258,"California",2024-02-26
"PANW","ST","PALO ALTO NETWORKS, INC.",2024-02-21,"Sale","$1,001 - $15,000"," MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2024-03-07,"D"," NJ05","House","",4.85341034036258,"New Jersey",2024-03-08
